inventory_id,store_id,product_id,stock_on_hand,store_name,store_city,store_location,store_open_date,year_operation
37,2,3,18,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
38,2,6,6,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
39,2,7,14,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
40,2,8,76,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
41,2,9,0,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
42,2,10,10,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
43,2,11,0,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
44,2,12,2,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
45,2,13,3,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
46,2,14,21,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
47,2,15,20,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
48,2,17,12,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
49,2,18,38,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
50,2,19,35,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
51,2,21,20,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
52,2,23,8,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
53,2,24,39,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
54,2,25,32,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
55,2,26,12,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
56,2,27,30,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
57,2,28,2,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
58,2,29,5,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
59,2,30,50,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
60,2,31,18,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
61,2,32,10,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
62,2,33,11,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
63,2,34,18,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
64,3,1,17,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
65,3,2,8,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
66,3,3,35,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
67,3,6,21,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
68,3,7,8,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
69,3,8,44,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
70,3,9,4,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
71,3,10,54,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
72,3,11,13,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
73,3,12,4,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
74,3,13,8,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
75,3,14,4,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
76,3,15,0,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
77,3,17,1,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
78,3,18,52,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
79,3,19,33,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
80,3,21,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
81,3,23,13,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
82,3,24,15,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
83,3,25,44,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
84,3,26,13,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
85,3,27,23,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
86,3,28,10,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
87,3,29,0,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
88,3,30,43,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
89,3,31,29,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
90,3,32,4,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
91,3,33,4,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
92,3,34,7,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,17
93,4,1,2,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
94,4,2,18,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
95,4,3,6,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
96,4,4,2,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
97,4,5,14,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
98,4,6,44,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
99,4,7,9,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
100,4,8,15,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
101,4,9,27,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
102,4,10,8,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
103,4,11,3,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
104,4,12,7,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
105,4,13,4,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
106,4,14,4,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
107,4,15,9,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
108,4,16,8,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
109,4,17,2,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
110,4,18,17,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
111,4,19,2,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
112,4,20,13,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
113,4,21,24,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
114,4,22,5,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
115,4,23,26,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
116,4,24,20,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
117,4,25,18,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
118,4,26,10,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
119,4,27,19,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
120,4,28,6,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
121,4,29,20,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
122,4,30,28,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
123,4,31,35,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
124,4,32,6,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
125,4,33,2,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
126,4,34,0,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
127,4,35,4,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,16
128,5,1,8,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
129,5,2,14,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
130,5,3,3,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
131,5,6,12,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
132,5,7,30,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
133,5,8,27,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
134,5,9,31,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
135,5,10,39,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
136,5,11,0,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
137,5,12,0,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
138,5,13,17,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
139,5,14,14,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
140,5,15,0,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
141,5,17,7,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
142,5,18,9,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
143,5,19,18,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
144,5,21,0,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
145,5,23,11,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
146,5,24,60,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
147,5,25,9,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
148,5,26,4,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
149,5,27,45,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
150,5,28,0,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
151,5,29,8,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
152,5,30,39,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
153,5,31,31,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
154,5,32,10,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
155,5,33,17,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
156,5,34,10,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,15
157,6,1,0,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
158,6,2,47,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
159,6,3,20,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
160,6,4,14,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
161,6,5,8,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
162,6,6,32,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
163,6,7,18,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
164,6,8,50,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
165,6,9,3,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
166,6,10,52,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
167,6,11,20,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
168,6,12,2,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
169,6,13,2,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
170,6,14,11,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
171,6,15,11,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
172,6,16,10,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
173,6,17,22,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
174,6,18,11,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
175,6,19,39,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
176,6,20,9,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
177,6,21,36,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
178,6,22,5,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
179,6,23,15,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
180,6,24,15,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
181,6,25,62,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
182,6,26,7,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
183,6,27,37,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
184,6,28,2,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
185,6,29,10,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
186,6,30,67,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
187,6,31,17,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
188,6,32,7,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
189,6,33,7,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
190,6,34,8,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
191,6,35,3,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,13
192,7,1,14,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
193,7,2,7,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
194,7,3,10,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
195,7,4,17,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
196,7,5,19,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
197,7,6,10,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
198,7,7,1,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
199,7,8,46,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
200,7,9,0,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
201,7,10,36,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
202,7,11,7,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
203,7,12,38,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
204,7,13,20,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
205,7,14,3,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
206,7,15,3,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
207,7,16,6,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
208,7,17,4,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
209,7,18,31,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
210,7,19,24,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
211,7,20,7,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
212,7,21,49,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
213,7,22,8,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
214,7,23,9,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
215,7,24,25,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
216,7,25,10,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
217,7,26,16,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
218,7,27,48,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
219,7,28,0,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
220,7,29,8,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
221,7,30,27,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
222,7,31,15,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
223,7,32,3,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
224,7,33,18,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
225,7,34,2,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
226,7,35,17,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,13
227,8,1,10,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
228,8,2,11,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
229,8,3,8,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
230,8,4,18,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
231,8,5,10,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
232,8,6,12,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
233,8,7,8,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
234,8,8,42,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
235,8,9,0,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
236,8,10,54,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
237,8,11,8,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
238,8,12,4,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
239,8,13,0,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
240,8,14,0,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
241,8,15,0,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
242,8,16,8,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
243,8,17,5,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
244,8,18,18,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
245,8,19,11,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
246,8,20,5,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
247,8,21,37,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
248,8,22,13,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
249,8,23,8,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
250,8,24,7,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
251,8,25,71,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
252,8,26,20,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
253,8,27,47,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
254,8,28,20,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
255,8,29,3,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
256,8,30,13,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
257,8,31,27,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
258,8,32,7,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
259,8,33,17,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
260,8,34,18,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
261,8,35,8,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,12
262,9,1,15,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
263,9,2,18,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
264,9,3,10,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
265,9,4,6,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
266,9,5,3,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
267,9,6,55,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
268,9,7,22,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
269,9,8,29,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
270,9,9,50,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
271,9,10,69,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
272,9,11,1,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
273,9,12,6,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
274,9,13,19,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
275,9,14,11,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
276,9,15,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
277,9,16,5,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
278,9,17,8,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
279,9,18,8,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
280,9,19,54,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
281,9,20,4,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
282,9,21,12,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
283,9,22,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
284,9,23,31,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
285,9,24,16,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
286,9,25,4,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
287,9,26,21,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
288,9,27,29,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
289,9,28,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
290,9,29,8,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
291,9,30,11,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
292,9,31,6,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
293,9,32,3,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
294,9,33,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
295,9,34,5,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
296,9,35,4,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,12
297,10,1,5,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
298,10,2,17,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
299,10,3,15,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
300,10,4,17,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
301,10,5,4,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
302,10,6,24,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
303,10,7,13,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
304,10,8,73,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
305,10,9,10,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
306,10,10,57,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
307,10,11,9,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
308,10,12,15,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
309,10,13,17,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
310,10,14,4,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
311,10,15,13,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
312,10,16,1,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
313,10,17,3,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
314,10,18,17,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
315,10,19,57,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
316,10,20,4,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
317,10,21,16,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
318,10,22,13,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
319,10,23,9,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
320,10,24,20,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
321,10,25,68,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
322,10,26,9,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
323,10,27,24,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,11
